timestamp,domain,dns_server,record_type,answers,error_code,error_reason
2024-11-15T01:16:59.532770,24ur.com,2400:3200:baba::1,AAAA,[],NoAnswer,No answer for domain: 24ur.com on server: 2400:3200:baba::1
2024-11-15T01:16:59.532770,2miners.com,2620:fe::fe,AAAA,['2001::68f4:2eb9'],,
2024-11-15T01:16:59.532770,2dehands.be,208.67.220.220,A,"['52.84.162.100', '52.84.162.18', '52.84.162.54', '52.84.162.56']",,
2024-11-15T01:16:59.532770,24xxx-x.com,1.1.1.1,A,"['104.26.8.66', '104.26.9.66', '172.67.69.81']",,
2024-11-15T01:16:59.533757,33across.com,95.85.95.85,A,['151.101.194.159'],,
2024-11-15T01:16:59.533757,2miners.com,2001:6d0:d6::2001,AAAA,['2001::a27d:108'],,
2024-11-15T01:16:59.533757,33across.com,77.88.8.8,A,['151.101.194.159'],,
2024-11-15T01:16:59.533757,2dehands.be,114.114.114.114,A,"['52.84.162.54', '52.84.162.100', '52.84.162.18']",,
2024-11-15T01:16:59.533757,33across.com,77.88.8.1,A,['151.101.194.159'],,
2024-11-15T01:16:59.533757,24xxx-x.com,195.208.5.1,A,"['104.26.8.66', '172.67.69.81', '104.26.9.66']",,
2024-11-15T01:16:59.533757,24xxx-x.com,2001:4860:4860::8844,AAAA,"['2606:4700:20::ac43:4551', '2606:4700:20::681a:942', '2606:4700:20::681a:842']",,
2024-11-15T01:16:59.533757,2o7.net,2606:4700:4700::1001,AAAA,[],NoAnswer,No answer for domain: 2o7.net on server: 2606:4700:4700::1001
2024-11-15T01:16:59.533757,33across.com,2.56.220.2,A,['151.101.194.159'],,
2024-11-15T01:16:59.533757,33across.com,1.1.1.1,A,['151.101.194.159'],,
2024-11-15T01:16:59.533757,24ur.com,2402:4e00::,AAAA,[],NoAnswer,No answer for domain: 24ur.com on server: 2402:4e00::
2024-11-15T01:16:59.533757,24xxx-x.com,2001:4860:4860::8888,AAAA,"['2606:4700:20::681a:842', '2606:4700:20::ac43:4551', '2606:4700:20::681a:942']",,
2024-11-15T01:16:59.533757,24xxx-x.com,9.9.9.10,A,"['104.26.9.66', '172.67.69.81', '104.26.8.66']",,
2024-11-15T01:16:59.533757,24ur.com,123.125.81.6,A,['91.202.66.219'],,
2024-11-15T01:16:59.533757,2o7.net,2001:4860:4860::8844,AAAA,[],NoAnswer,No answer for domain: 2o7.net on server: 2001:4860:4860::8844
2024-11-15T01:16:59.533757,33across.com,1.0.0.1,A,['151.101.194.159'],,
2024-11-15T01:16:59.533757,2dehands.be,208.67.222.222,A,"['52.84.162.18', '52.84.162.54', '52.84.162.56', '52.84.162.100']",,
2024-11-15T01:16:59.533757,2dehands.be,195.208.4.1,A,"['108.157.214.14', '108.157.214.16', '108.157.214.59', '108.157.214.124']",,
2024-11-15T01:16:59.533757,24xxx-x.com,2620:0:ccd::2,AAAA,"['2606:4700:20::681a:942', '2606:4700:20::ac43:4551', '2606:4700:20::681a:842']",,
