timestamp,domain,dns_server,record_type,answers,error_code,error_reason
2024-11-19T11:48:19.576907,163.com,223.5.5.5,A,['59.111.160.244'],,
2024-11-19T11:48:19.576907,69shuba.cx,223.5.5.5,A,['52.221.173.28'],,
2024-11-19T11:48:19.576907,163.com,223.6.6.6,A,['59.111.160.244'],,
2024-11-19T11:48:19.576907,69shuba.cx,223.6.6.6,A,['52.221.173.28'],,
2024-11-19T11:48:19.576907,11xplay.pro,2400:3200:baba::1,AAAA,"['2606:4700:3035::6815:1719', '2606:4700:3036::ac43:d072']",,
2024-11-19T11:48:19.576907,69shuba.cx,2400:3200::1,AAAA,[],NoAnswer,No answer for domain: 69shuba.cx on server: 2400:3200::1
2024-11-19T11:48:19.576907,163.com,114.114.115.115,A,['59.111.160.244'],,
2024-11-19T11:48:19.576907,69shuba.cx,114.114.115.115,A,['18.179.230.185'],,
2024-11-19T11:48:19.576907,163.com,114.114.114.114,A,['59.111.160.244'],,
2024-11-19T11:48:19.576907,69shuba.cx,2400:3200:baba::1,AAAA,[],NoAnswer,No answer for domain: 69shuba.cx on server: 2400:3200:baba::1
2024-11-19T11:48:19.576907,69shuba.cx,114.114.114.114,A,['18.179.230.185'],,
2024-11-19T11:48:19.576907,163.com,119.29.29.29,A,['59.111.160.244'],,
2024-11-19T11:48:19.576907,163.com,211.136.17.107,A,['59.111.160.244'],,
2024-11-19T11:48:19.576907,69shuba.cx,119.29.29.29,A,['18.179.230.185'],,
2024-11-19T11:48:19.576907,69shuba.cx,211.136.17.107,A,['52.221.173.28'],,
2024-11-19T11:48:19.576907,69shuba.cx,208.67.222.220,A,['52.221.173.28'],,
2024-11-19T11:48:19.576907,11xplay.pro,2620:119:35::35,AAAA,"['2606:4700:3035::6815:1719', '2606:4700:3036::ac43:d072']",,
2024-11-19T11:48:19.576907,11xplay.pro,2620:119:53::53,AAAA,"['2606:4700:3035::6815:1719', '2606:4700:3036::ac43:d072']",,
2024-11-19T11:48:19.576907,163.com,218.30.118.6,A,['59.111.160.244'],,
2024-11-19T11:48:19.576907,11xplay.pro,2620:0:ccc::2,AAAA,"['2606:4700:3035::6815:1719', '2606:4700:3036::ac43:d072']",,
2024-11-19T11:48:19.576907,123-hd.com,2001:4860:4860::8844,AAAA,[],NoAnswer,No answer for domain: 123-hd.com on server: 2001:4860:4860::8844
2024-11-19T11:48:19.576907,11xplay.pro,2620:0:ccd::2,AAAA,"['2606:4700:3035::6815:1719', '2606:4700:3036::ac43:d072']",,
2024-11-19T11:48:19.576907,123-hd.com,2001:4860:4860::8888,AAAA,[],NoAnswer,No answer for domain: 123-hd.com on server: 2001:4860:4860::8888
2024-11-19T11:48:19.576907,163.com,123.125.81.6,A,['59.111.160.244'],,
2024-11-19T11:48:19.576907,163.com,101.226.4.6,A,['59.111.160.244'],,
2024-11-19T11:48:19.576907,69shuba.cx,2402:4e00::,AAAA,[],NoAnswer,No answer for domain: 69shuba.cx on server: 2402:4e00::
2024-11-19T11:48:19.576907,69shuba.cx,2620:119:53::53,AAAA,[],NoAnswer,No answer for domain: 69shuba.cx on server: 2620:119:53::53
2024-11-19T11:48:19.577907,69shuba.cx,2620:119:35::35,AAAA,[],NoAnswer,No answer for domain: 69shuba.cx on server: 2620:119:35::35
2024-11-19T11:48:19.577907,69shuba.cx,101.226.4.6,A,['52.221.173.28'],,
