timestamp,domain,dns_server,record_type,answers,error_code,error_reason
2024-11-14T21:37:02.952015,arte.tv,2606:4700:4700::1001,AAAA,['2a03:2880:f12d:83:face:b00c:0:25de'],,
2024-11-14T21:37:02.952015,arte.tv,2001:6d0:6d0::2001,AAAA,['2a03:2880:f134:83:face:b00c:0:25de'],,
2024-11-14T21:37:02.952015,artnet.com,2001:4860:4860::8888,AAAA,[],NoAnswer,No answer for domain: artnet.com on server: 2001:4860:4860::8888
2024-11-14T21:37:02.952015,arte.tv,2001:6d0:d6::2001,AAAA,['2a03:2880:f10e:83:face:b00c:0:25de'],,
2024-11-14T21:37:02.952015,arpanet.jp,208.67.220.220,A,[],NoAnswer,No answer for domain: arpanet.jp on server: 208.67.220.220
2024-11-14T21:37:02.952015,arpanet.jp,208.67.222.222,A,[],NoAnswer,No answer for domain: arpanet.jp on server: 208.67.222.222
2024-11-14T21:37:02.952015,arkoselabs.com,195.208.5.1,A,"['108.157.229.17', '108.157.229.76', '108.157.229.57', '108.157.229.100']",,
2024-11-14T21:37:02.952015,arnebrachhold.de,94.140.15.15,A,"['172.67.184.226', '104.21.56.116']",,
2024-11-14T21:37:02.952015,arte.tv,2a02:6b8::feed:0ff,AAAA,['2001::4b7e:7ca2'],,
2024-11-14T21:37:02.952015,arizona.edu,211.136.17.107,A,['128.196.128.233'],,
2024-11-14T21:37:02.952015,arnebrachhold.de,223.5.5.5,A,"['104.21.56.116', '172.67.184.226']",,
2024-11-14T21:37:02.952015,arte.tv,2a02:6b8:0:1::feed:0ff,AAAA,['2a03:2880:f12c:83:face:b00c:0:25de'],,
2024-11-14T21:37:02.952015,articulate.com,2400:3200:baba::1,AAAA,[],NoAnswer,No answer for domain: articulate.com on server: 2400:3200:baba::1
2024-11-14T21:37:02.952015,articulate.com,2001:6d0:6d0::2001,AAAA,[],NoAnswer,No answer for domain: articulate.com on server: 2001:6d0:6d0::2001
2024-11-14T21:37:02.952015,arkoselabs.com,208.67.222.220,A,"['54.230.71.22', '54.230.71.47', '54.230.71.99', '54.230.71.14']",,
2024-11-14T21:37:02.952015,arkoselabs.com,195.208.4.1,A,"['3.164.68.58', '3.164.68.13', '3.164.68.79', '3.164.68.91']",,
2024-11-14T21:37:02.952015,articulate.com,2001:6d0:d6::2001,AAAA,[],NoAnswer,No answer for domain: articulate.com on server: 2001:6d0:d6::2001
