timestamp,domain,dns_server,record_type,answers,error_code,error_reason
2024-11-17T07:19:15.869384,alcmpn.com,2001:4860:4860::8888,AAAA,[],NoAnswer,No answer for domain: alcmpn.com on server: 2001:4860:4860::8888
2024-11-17T07:19:15.869384,algolianet.com,8.8.4.4,A,"['104.16.84.13', '104.16.83.13']",,
2024-11-17T07:19:15.869384,algolianet.com,223.5.5.5,A,"['104.16.83.13', '104.16.84.13']",,
2024-11-17T07:19:15.869384,alcmpn.com,2a03:90c0:999d::1,AAAA,[],NoAnswer,No answer for domain: alcmpn.com on server: 2a03:90c0:999d::1
2024-11-17T07:19:15.869384,algolianet.com,2.56.220.2,A,"['104.16.84.13', '104.16.83.13']",,
2024-11-17T07:19:15.869384,algolianet.com,94.140.14.14,A,"['104.16.84.13', '104.16.83.13']",,
2024-11-17T07:19:15.869384,alastonsuomi.com,1.1.1.1,A,['185.107.44.87'],,
2024-11-17T07:19:15.869384,alastonsuomi.com,119.29.29.29,A,['185.107.44.87'],,
2024-11-17T07:19:15.869384,alcmpn.com,2620:0:ccd::2,AAAA,[],NoAnswer,No answer for domain: alcmpn.com on server: 2620:0:ccd::2
2024-11-17T07:19:15.869384,algolianet.com,195.208.4.1,A,"['104.16.83.13', '104.16.84.13']",,
2024-11-17T07:19:15.869384,alastonsuomi.com,95.85.95.85,A,['185.107.44.87'],,
2024-11-17T07:19:15.869384,aleqaria.com.eg,180.76.76.76,A,"['172.67.205.14', '104.21.34.125']",,
2024-11-17T07:19:15.869384,aleqaria.com.eg,208.67.220.222,A,"['104.21.34.125', '172.67.205.14']",,
2024-11-17T07:19:15.869384,algolianet.com,1.0.0.1,A,"['104.16.84.13', '104.16.83.13']",,
2024-11-17T07:19:15.869384,alcmpn.com,2620:119:53::53,AAAA,[],NoAnswer,No answer for domain: alcmpn.com on server: 2620:119:53::53
2024-11-17T07:19:15.869384,alcmpn.com,2a03:90c0:9992::1,AAAA,[],NoAnswer,No answer for domain: alcmpn.com on server: 2a03:90c0:9992::1
2024-11-17T07:19:15.869384,alastonsuomi.com,195.208.4.1,A,['185.107.44.87'],,
2024-11-17T07:19:15.869384,alastonsuomi.com,94.140.14.14,A,['185.107.44.87'],,
2024-11-17T07:19:15.869384,algolia.net,101.226.4.6,A,"['149.202.84.123', '91.109.20.242', '103.254.154.6']",,
2024-11-17T07:19:15.869384,alastonsuomi.com,2.56.220.2,A,['185.107.44.87'],,
2024-11-17T07:19:15.869384,alcmpn.com,2620:0:ccc::2,AAAA,[],NoAnswer,No answer for domain: alcmpn.com on server: 2620:0:ccc::2
2024-11-17T07:19:15.869384,alastonsuomi.com,8.8.4.4,A,['185.107.44.87'],,
2024-11-17T07:19:15.869384,alastonsuomi.com,223.5.5.5,A,['185.107.44.87'],,
