Region,DNS_Server,Provider
china,114.114.114.114,114DNS
china,114.114.115.115,114 Alternative
china,223.5.5.5,AliDNS
china,223.6.6.6,AliDNS Alternative
china,119.29.29.29,DNSPod
china,180.76.76.76,Baidu
china,202.96.128.86,China Telecom
china,210.21.196.6,China Unicom
china,218.30.118.6,CUCC DNS
china,211.136.17.107,China Mobile
china,117.50.11.11,One DNS
china,123.125.81.6,Baidu DNS
china,101.226.4.6,Tencent DNS
china,123.125.81.7,Baidu DNS Alternative
china,101.226.4.7,Tencent DNS Alternative
global,8.8.8.8,Google
global,8.8.4.4,Google Alternative
global,1.1.1.1,Cloudflare
global,1.0.0.1,Cloudflare Alternative
global,9.9.9.9,Quad9
global,149.112.112.112,Quad9 Alternative
global,208.67.222.222,OpenDNS
global,208.67.220.220,OpenDNS Alternative
global,8.26.56.26,Comodo Secure DNS
global,8.20.247.20,Comodo Secure DNS Alternative
global,199.85.126.10,Norton ConnectSafe DNS
global,199.85.127.10,Norton ConnectSafe DNS Alternative
global,77.88.8.8,Yandex DNS
global,77.88.8.1,Yandex DNS Alternative
global,94.140.14.14,AdGuard DNS
global,94.140.15.15,AdGuard DNS Alternative
